abide_subset,20,nan,0.0
abide_subset,20,nan,nan
abide_subset,20,0.8722592945662535,0.0
abide_subset,20,0.8722592945662535,0.0
abide,20,0.39752144899904673,0.0
abide,20,0.39752144899904673,0.0
abide,20,0.9926062846580407,0.0
abide,20,0.9926062846580407,0.0
abide,20,0.9926062846580407,0.0
abide,20,0.9926062846580407,0.0
AID362,20,0.5892115035158411,0.0
AID362,20,0.5892115035158411,0.0
AID362,20,0.5892115035158411,0.0
AID362,20,0.5892115035158411,0.0
census,20,0.6309972984302276,0.0
census,20,0.6309972984302276,0.0
